Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:0000398~mRNA splicing, via spliceosome	9	8.49056603773585	1.1662926174985746E-5	HSPA8, DDX5, HNRNPA3, HNRNPH1, HNRNPA2B1, HNRNPU, HNRNPR, SRSF5, SF1	105	202	19734	8.373691654879773	0.01364505774333391	0.0011449105861777674	0.0010924274183903315
GOTERM_BP_DIRECT	GO:0042127~regulation of cell population proliferation	8	7.547169811320755	1.2815875018091543E-5	NFKBIA, CXCL10, CXCL11, CXCL9, JUN, JUND, STAT1, JUNB	105	147	19734	10.22818270165209	0.014983806174727499	0.0011613154439470644	0.001108080270794992
GOTERM_BP_DIRECT	GO:0006955~immune response	13	12.264150943396226	1.4149814116609884E-5	IL32, CXCL9, HLA-B, IFI6, HLA-C, HLA-A, HLA-F, HLA-E, C3, CCL5, TNFSF10, GBP2, B2M	105	505	19734	4.838132956152758	0.016530446530358178	0.0011906057878118888	0.0011360279333621078
GOTERM_BP_DIRECT	GO:0034605~cellular response to heat	6	5.660377358490567	1.6009192685609278E-5	HSPA8, DNAJB1, CXCL10, HSP90AA1, HSPA1B, HSPA1A	105	60	19734	18.794285714285714	0.018682262030559116	0.0012572552655765153	0.001199622171908322
GOTERM_BP_DIRECT	GO:0045087~innate immune response	13	12.264150943396226	2.5467083458638155E-5	DDX3X, HLA-B, IFI6, HLA-C, ISG15, HLA-A, PARP14, HLA-E, BST2, SFPQ, IFI27, GBP2, GBP1	105	536	19734	4.558315565031983	0.029555054861418295	0.0018750140196422342	0.0017890626129693304
GOTERM_BP_DIRECT	GO:0043066~negative regulation of apoptotic process	12	11.320754716981133	7.479628021168244E-5	DNAJA1, GREM1, ARF4, CD74, DDX3X, HSPA5, IFI6, DPEP1, IGF1, HSPA1B, HSPA1A, MCL1	105	507	19734	4.448351648351648	0.08434288538037027	0.005182942240550701	0.004945354056348886
GOTERM_BP_DIRECT	GO:0071356~cellular response to tumor necrosis factor	7	6.60377358490566	8.368705380252584E-5	NFKBIA, ZFP36, CCL5, CYP1B1, FOS, GBP2, GBP1	105	136	19734	9.673529411764706	0.09388357310122253	0.005476852743298635	0.005225791581891058
GOTERM_BP_DIRECT	GO:0008285~negative regulation of cell population proliferation	11	10.377358490566039	9.873995558313048E-5	IFITM1, BTG2, DUSP1, ABI3BP, TPBG, IRF1, CYP1B1, DPT, HSPA1B, WARS1, HSPA1A	105	434	19734	4.763528637261356	0.10981093884977244	0.00612187724615409	0.005841247898707298
GOTERM_BP_DIRECT	GO:0071277~cellular response to calcium ion	6	5.660377358490567	1.1979962683270775E-4	TUBA1A, JUND, FOSB, DPEP1, FOS, JUNB	105	91	19734	12.391836734693877	0.13162568116520046	0.007056198020446486	0.0067327390279981756
GOTERM_BP_DIRECT	GO:0098586~cellular response to virus	6	5.660377358490567	1.3965020501189562E-4	CXCL10, HSP90AA1, DDX3X, CCL5, IFI6, CALR	105	94	19734	11.996352583586626	0.15169872516449845	0.007833711500191097	0.007474610973017651
GOTERM_BP_DIRECT	GO:0048146~positive regulation of fibroblast proliferation	5	4.716981132075472	1.8799720898461325E-4	CD74, S100A6, FN1, IGF1, ESR1	105	54	19734	17.402116402116402	0.19866927884565733	0.009995100257118616	0.009536920788625912
GOTERM_BP_DIRECT	GO:0042981~regulation of apoptotic process	8	7.547169811320755	1.9515051435800354E-4	CXCL10, RBM25, HSP90AA1, STAT1, CALR, CCNL1, ACTB, MCL1	105	226	19734	6.652844500632112	0.20539467977274872	0.009995100257118616	0.009536920788625912
GOTERM_BP_DIRECT	GO:0071346~cellular response to type II interferon	6	5.660377358490567	2.145358826995136E-4	GSN, STAT1, CCL5, GBP2, GBP1, GBP4	105	103	19734	10.948127600554784	0.22333827424746588	0.010530136242501126	0.010047430506427221
GOTERM_BP_DIRECT	GO:0140467~integrated stress response signaling	4	3.7735849056603774	2.6552019248472075E-4	JUN, MAFB, FOS, JUNB	105	24	19734	31.323809523809526	0.26862160955565606	0.012411127384851898	0.01184219624836463
GOTERM_BP_DIRECT	GO:0006457~protein folding	7	6.60377358490566	2.739298064568331E-4	DNAJA1, PDIA3, HSPA8, HSP90AA1, HSPH1, CALR, HSPE1	105	169	19734	7.7846153846153845	0.27583319333649825	0.012411127384851898	0.01184219624836463
GOTERM_BP_DIRECT	GO:0010628~positive regulation of gene expression	11	10.377358490566039	3.563566535307623E-4	IL32, EGR1, CD74, DDX3X, GSN, FN1, IGF1, CALR, HSPA1B, WARS1, HSPA1A	105	509	19734	4.06163345495369	0.34286312757533555	0.015547708809601405	0.01483499550253988
GOTERM_BP_DIRECT	GO:0042270~protection from natural killer cell mediated cytotoxicity	3	2.8301886792452833	4.069679173830796E-4	HLA-B, HLA-A, HLA-E	105	6	19734	93.97142857142856	0.38091072059879993	0.016977589308846835	0.01619932969706608
GOTERM_BP_DIRECT	GO:0034341~response to type II interferon	4	3.7735849056603774	4.232352975459963E-4	BST2, CD74, IFITM1, STAT1	105	28	19734	26.848979591836734	0.39266619714837014	0.016977589308846835	0.01619932969706608
GOTERM_BP_DIRECT	GO:0042776~proton motive force-driven mitochondrial ATP synthesis	5	4.716981132075472	4.323664509893082E-4	MT-ATP6, MT-ND4, MT-ND5, MT-ND2, MT-ND1	105	67	19734	14.025586353944563	0.3991667391410656	0.016977589308846835	0.01619932969706608
GOTERM_BP_DIRECT	GO:0045648~positive regulation of erythrocyte differentiation	4	3.7735849056603774	7.555569159159668E-4	STAT1, ISG15, HSPA1B, HSPA1A	105	34	19734	22.110924369747902	0.5895012752344564	0.028711162804806737	0.0273950314028886
GOTERM_BP_DIRECT	GO:2001240~negative regulation of extrinsic apoptotic signaling pathway in absence of ligand	4	3.7735849056603774	9.698855581918397E-4	IFI6, HSPA1B, HSPA1A, MCL1	105	37	19734	20.31814671814672	0.6811643795489862	0.03469546564389141	0.03310501136140403
GOTERM_BP_DIRECT	GO:0030593~neutrophil chemotaxis	5	4.716981132075472	9.719442837422891E-4	CXCL10, CXCL11, CXCL9, CCL5, DPEP1	105	83	19734	11.321858864027538	0.6819374256992314	0.03469546564389141	0.03310501136140403
GOTERM_BP_DIRECT	GO:0090084~negative regulation of inclusion body assembly	3	2.8301886792452833	0.0012041969444855016	DNAJB1, HSPA1B, HSPA1A	105	10	19734	56.38285714285714	0.7581406185432464	0.04172188237070355	0.039809334282403054
GOTERM_BP_DIRECT	GO:0045893~positive regulation of DNA-templated transcription	12	11.320754716981133	0.0013396832414121914	EGR1, CD74, JUN, MAFB, MDK, STAT1, FUS, IRF1, FOS, IGF1, ESR1, ACTB	105	713	19734	3.1631336405529953	0.7938610683252113	0.04508991023953033	0.04302297038135152
GOTERM_BP_DIRECT	GO:0032728~positive regulation of interferon-beta production	4	3.7735849056603774	0.0014059030291729382	HSP90AA1, DDX3X, IRF1, ISG15	105	42	19734	17.899319727891157	0.809350584113183	0.046004271343492255	0.04389541679973285
GOTERM_BP_DIRECT	GO:0007267~cell-cell signaling	7	6.60377358490566	0.0015043247185131	GREM1, CXCL10, CXCL11, CXCL9, CCL5, TNFSF10, PGF	105	234	19734	5.622222222222223	0.8302500419137613	0.04789444644347113	0.045698945502938494
GOTERM_BP_DIRECT	GO:0043065~positive regulation of apoptotic process	8	7.547169811320755	0.0015872499945575643	DNAJA1, NR4A1, JUN, DDX3X, B4GALT1, TNFSF10, CYP1B1, MCL1	105	322	19734	4.669387755102042	0.8460713306972081	0.04920474983128449	0.0469491840495448
GOTERM_BP_DIRECT	GO:0051726~regulation of cell cycle	7	6.60377358490566	0.0016744743746055627	HSPA8, JUN, JUND, IRF1, CCNL1, JUNB, ACTB	105	239	19734	5.504602510460251	0.8611254311091328	0.050157988973748645	0.04785872632130177
GOTERM_BP_DIRECT	GO:0019882~antigen processing and presentation	4	3.7735849056603774	0.0017180224171987517	CD74, HLA-B, HLA-C, HLA-A	105	45	19734	16.706031746031748	0.8680814898278422	0.050157988973748645	0.04785872632130177
GOTERM_BP_DIRECT	GO:0035456~response to interferon-beta	3	2.8301886792452833	0.0017540443226086565	BST2, IFITM1, STAT1	105	12	19734	46.98571428571428	0.8735715183827366	0.050157988973748645	0.04785872632130177
GOTERM_BP_DIRECT	GO:0045071~negative regulation of viral genome replication	4	3.7735849056603774	0.0018308943343558505	BST2, IFITM1, CCL5, ISG15	105	46	19734	16.342857142857145	0.8845329844767548	0.050157988973748645	0.04785872632130177
GOTERM_BP_DIRECT	GO:0006120~mitochondrial electron transport, NADH to ubiquinone	4	3.7735849056603774	0.0018308943343558505	MT-ND4, MT-ND5, MT-ND2, MT-ND1	105	46	19734	16.342857142857145	0.8845329844767548	0.050157988973748645	0.04785872632130177
GOTERM_BP_DIRECT	GO:0035914~skeletal muscle cell differentiation	4	3.7735849056603774	0.002070277140160616	EGR1, NR4A1, BTG2, FOS	105	48	19734	15.661904761904763	0.9129536412211826	0.05542696525248195	0.05288617058046664
GOTERM_BP_DIRECT	GO:0009410~response to xenobiotic stimulus	7	6.60377358490566	0.0022735551955307717	HSPA8, HSP90AA1, STAT1, FOSB, FOS, CALR, MT-ND1	105	254	19734	5.179527559055118	0.9315257293510709	0.05951662267411664	0.05678835643947972
GOTERM_BP_DIRECT	GO:0001666~response to hypoxia	6	5.660377358490567	0.0024666358448879964	EGR1, MT-ND4, MT-ND5, MT-ND2, PGF, MT-ND1	105	177	19734	6.370944309927361	0.9454853920504686	0.06316732663647956	0.06027171064465452
GOTERM_BP_DIRECT	GO:0009615~response to virus	5	4.716981132075472	0.0027400330162730122	BST2, IFITM1, DDX3X, CCL5, ISG15	105	110	19734	8.542857142857143	0.9605290006557153	0.06867572113126826	0.06552759809129502
GOTERM_BP_DIRECT	GO:0009612~response to mechanical stimulus	4	3.7735849056603774	0.0033844410546910015	BTG2, TUBA1A, STAT1, FOSB	105	57	19734	13.188972431077694	0.9815673824266336	0.08212531649062069	0.07836065851906422
GOTERM_BP_DIRECT	GO:0071383~cellular response to steroid hormone stimulus	3	2.8301886792452833	0.003552835083875222	HSPA8, HSPA1B, HSPA1A	105	17	19734	33.166386554621845	0.9848944358868557	0.08212531649062069	0.07836065851906422
GOTERM_BP_DIRECT	GO:0034975~protein folding in endoplasmic reticulum	3	2.8301886792452833	0.003552835083875222	PDIA3, HSPA5, CALR	105	17	19734	33.166386554621845	0.9848944358868557	0.08212531649062069	0.07836065851906422
GOTERM_BP_DIRECT	GO:0031397~negative regulation of protein ubiquitination	4	3.7735849056603774	0.003555510306469996	DNAJA1, ISG15, HSPA1B, HSPA1A	105	58	19734	12.961576354679805	0.9849421340757959	0.08212531649062069	0.07836065851906422
GOTERM_BP_DIRECT	GO:0030308~negative regulation of cell growth	5	4.716981132075472	0.003745835843030832	GREM1, BST2, DDX3X, HSPA1B, HSPA1A	105	120	19734	7.830952380952381	0.9879763501384627	0.08485758890558308	0.08096768245320492
GOTERM_BP_DIRECT	GO:0031396~regulation of protein ubiquitination	3	2.8301886792452833	0.0044366201976065	HSP90AA1, HSPA1B, HSPA1A	105	19	19734	29.67518796992481	0.9946889548588473	0.09678404801445291	0.0923474278168464
GOTERM_BP_DIRECT	GO:0035994~response to muscle stretch	3	2.8301886792452833	0.0044366201976065	NFKBIA, GSN, FOS	105	19	19734	29.67518796992481	0.9946889548588473	0.09678404801445291	0.0923474278168464
GOTERM_BP_DIRECT	GO:0030705~cytoskeleton-dependent intracellular transport	3	2.8301886792452833	0.004912704527997033	TUBA1B, TUBA1A, TUBB	105	20	19734	28.19142857142857	0.9969767654613111	0.10469034610008812	0.09989129797665455
GOTERM_BP_DIRECT	GO:0001649~osteoblast differentiation	5	4.716981132075472	0.004976790646523714	VCAN, HNRNPU, HSPE1, JUNB, CTHRC1	105	130	19734	7.228571428571429	0.9971976490250025	0.10469034610008812	0.09989129797665455
GOTERM_BP_DIRECT	GO:0032981~mitochondrial respiratory chain complex I assembly	4	3.7735849056603774	0.00533467253585094	MT-ND4, MT-ND5, MT-ND2, MT-ND1	105	67	19734	11.22046908315565	0.9981656522187898	0.10915683447080274	0.1041530407004943
GOTERM_BP_DIRECT	GO:0014911~positive regulation of smooth muscle cell migration	3	2.8301886792452833	0.005411253028838469	CCL5, CYP1B1, IGF1	105	21	19734	26.848979591836734	0.9983247040406235	0.10915683447080274	0.1041530407004943
GOTERM_BP_DIRECT	GO:0007165~signal transduction	15	14.150943396226415	0.005503272365781015	IL32, CXCL9, IGF1, ESR1, PGF, C3, GREM1, CXCL10, NR4A1, CXCL11, ALCAM, MDK, S100A6, TNFSF10, HSPA1A	105	1240	19734	2.2735023041474656	0.9984977015186397	0.10915683447080274	0.1041530407004943
GOTERM_BP_DIRECT	GO:0009060~aerobic respiration	4	3.7735849056603774	0.005559770855898272	MT-ND4, MT-ND5, MT-ND2, MT-ND1	105	68	19734	11.055462184873951	0.9985949528858564	0.10915683447080274	0.1041530407004943
GOTERM_BP_DIRECT	GO:0010996~response to auditory stimulus	3	2.8301886792452833	0.005932020359352261	CXCL10, MDK, PTN	105	22	19734	25.62857142857143	0.9990960428120779	0.1145109985755457	0.10926176774101304
GOTERM_BP_DIRECT	GO:0070098~chemokine-mediated signaling pathway	4	3.7735849056603774	0.006026894661870826	CXCL10, CXCL11, CXCL9, CCL5	105	70	19734	10.739591836734695	0.9991921731211948	0.1145109985755457	0.10926176774101304
GOTERM_BP_DIRECT	GO:0006954~inflammatory response	8	7.547169811320755	0.006996622194903171	C3, CXCL10, NR4A1, CXCL11, CXCL9, CCL5, DPEP1, FOS	105	422	19734	3.5628977657413676	0.999744167928243	0.13082572929517358	0.12482862455668516
GOTERM_BP_DIRECT	GO:0046597~negative regulation of viral entry into host cell	3	2.8301886792452833	0.007625210617407014	CD74, IFITM1, GSN	105	25	19734	22.553142857142856	0.9998786607141877	0.13406713592993227	0.1279214437905296
GOTERM_BP_DIRECT	GO:0021542~dentate gyrus development	3	2.8301886792452833	0.007625210617407014	BTG2, TUBA1A, MDK	105	25	19734	22.553142857142856	0.9998786607141877	0.13406713592993227	0.1279214437905296
GOTERM_BP_DIRECT	GO:0000380~alternative mRNA splicing, via spliceosome	3	2.8301886792452833	0.007625210617407014	SFPQ, DDX5, HNRNPU	105	25	19734	22.553142857142856	0.9998786607141877	0.13406713592993227	0.1279214437905296
GOTERM_BP_DIRECT	GO:1901673~regulation of mitotic spindle assembly	3	2.8301886792452833	0.007625210617407014	HNRNPU, HSPA1B, HSPA1A	105	25	19734	22.553142857142856	0.9998786607141877	0.13406713592993227	0.1279214437905296
GOTERM_BP_DIRECT	GO:0007017~microtubule-based process	3	2.8301886792452833	0.008232438032470339	TUBA1B, TUBA1A, TUBB	105	26	19734	21.685714285714283	0.9999409986814192	0.1426148823860303	0.1360773580661274
GOTERM_BP_DIRECT	GO:0045669~positive regulation of osteoblast differentiation	4	3.7735849056603774	0.00841505315346388	IFITM1, JUND, IGF1, CTHRC1	105	79	19734	9.51609403254973	0.9999525045678852	0.14366569006928187	0.13707999629700582
GOTERM_BP_DIRECT	GO:0050821~protein stabilization	6	5.660377358490567	0.008707964006937281	CD74, HSP90AA1, IGF1, CALR, HSPA1B, HSPA1A	105	239	19734	4.718230723251644	0.9999664644891646	0.1465425942881731	0.13982502205425004
GOTERM_BP_DIRECT	GO:0006397~mRNA processing	6	5.660377358490567	0.009007496131306567	HSPA8, SFPQ, RBM25, HNRNPA2B1, HNRNPR, SRSF5	105	241	19734	4.679075281564908	0.9999765093449268	0.14944831609407233	0.14259754438857156
GOTERM_BP_DIRECT	GO:0090090~negative regulation of canonical Wnt signaling pathway	5	4.716981132075472	0.009377495393838413	GREM1, EGR1, MDK, TPBG, CTHRC1	105	156	19734	6.023809523809524	0.9999848696941357	0.15342624408252292	0.14639312253714412
GOTERM_BP_DIRECT	GO:0042832~defense response to protozoan	3	2.8301886792452833	0.009509720766022713	GBP2, GBP1, GBP4	105	28	19734	20.13673469387755	0.9999870712530123	0.15345823373116105	0.14642364576725383
GOTERM_BP_DIRECT	GO:0006952~defense response	4	3.7735849056603774	0.010274873555724392	IL32, CXCL9, STAT1, HLA-B	105	85	19734	8.84436974789916	0.9999947977160928	0.1622602324613461	0.15482215728909424
GOTERM_BP_DIRECT	GO:0002477~antigen processing and presentation of exogenous peptide antigen via MHC class Ib	2	1.8867924528301887	0.010512676243572883	HLA-F, HLA-E	105	2	19734	187.94285714285718	0.999996080265314	0.1622602324613461	0.15482215728909424
GOTERM_BP_DIRECT	GO:2001187~positive regulation of CD8-positive, alpha-beta T cell activation	2	1.8867924528301887	0.010512676243572883	HLA-A, HLA-E	105	2	19734	187.94285714285718	0.999996080265314	0.1622602324613461	0.15482215728909424
GOTERM_BP_DIRECT	GO:0032355~response to estradiol	4	3.7735849056603774	0.010606144227099872	HSPA8, CYP1B1, CALR, ESR1	105	86	19734	8.741528239202658	0.9999964930608152	0.1622602324613461	0.15482215728909424
GOTERM_BP_DIRECT	GO:1990000~amyloid fibril formation	3	2.8301886792452833	0.010869223072372716	GSN, FUS, B2M	105	30	19734	18.794285714285714	0.9999974362450866	0.1641531381955777	0.1566282914531658
GOTERM_BP_DIRECT	GO:0051281~positive regulation of release of sequestered calcium ion into cytosol	3	2.8301886792452833	0.011579231809888617	CXCL10, CXCL11, CXCL9	105	31	19734	18.188018433179725	0.9999988996941181	0.17266246926644038	0.16474755132044056
GOTERM_BP_DIRECT	GO:0046034~ATP metabolic process	3	2.8301886792452833	0.012309109356879743	HSPA8, HSPA1B, HSPA1A	105	32	19734	17.619642857142857	0.9999995391124838	0.18125163528005422	0.1729429864641604
GOTERM_BP_DIRECT	GO:0044344~cellular response to fibroblast growth factor stimulus	3	2.8301886792452833	0.013058630771076074	NR4A1, ZFP36, CCL5	105	33	19734	17.085714285714285	0.9999998115420653	0.18991440800404463	0.18120865415666057
GOTERM_BP_DIRECT	GO:0002218~activation of innate immune response	3	2.8301886792452833	0.013827572886376309	SFPQ, HSP90AA1, GBP2	105	34	19734	16.583193277310922	0.99999992475736	0.19864488853843038	0.18953892590593868
GOTERM_BP_DIRECT	GO:0006402~mRNA catabolic process	3	2.8301886792452833	0.014615714307850351	ZFP36, HSPA1B, HSPA1A	105	35	19734	16.10938775510204	0.99999997066172	0.2049679935077109	0.19557217716694994
GOTERM_BP_DIRECT	GO:0071276~cellular response to cadmium ion	3	2.8301886792452833	0.014615714307850351	HSPA8, JUN, FOS	105	35	19734	16.10938775510204	0.99999997066172	0.2049679935077109	0.19557217716694994
GOTERM_BP_DIRECT	GO:0043932~ossification involved in bone remodeling	2	1.8867924528301887	0.015727894248431167	PTN, CTHRC1	105	3	19734	125.2952380952381	0.999999992243265	0.21543557470525482	0.20555992017717015
GOTERM_BP_DIRECT	GO:0160075~non-canonical inflammasome complex assembly	2	1.8867924528301887	0.015727894248431167	NR4A1, GBP1	105	3	19734	125.2952380952381	0.999999992243265	0.21543557470525482	0.20555992017717015
GOTERM_BP_DIRECT	GO:0032570~response to progesterone	3	2.8301886792452833	0.016248718240316803	HSPA8, FOSB, FOS	105	37	19734	15.238610038610037	0.9999999958418838	0.220011380311416	0.2099259689898401
GOTERM_BP_DIRECT	GO:0051591~response to cAMP	3	2.8301886792452833	0.017093146681633364	STAT1, FOSB, FOS	105	38	19734	14.837593984962405	0.9999999984879581	0.22556667076299317	0.21522660266350113
GOTERM_BP_DIRECT	GO:0045582~positive regulation of T cell differentiation	3	2.8301886792452833	0.017093146681633364	CD74, MDK, ACTB	105	38	19734	14.837593984962405	0.9999999984879581	0.22556667076299317	0.21522660266350113
GOTERM_BP_DIRECT	GO:0030336~negative regulation of cell migration	5	4.716981132075472	0.017233446832486746	BST2, CD74, IFITM1, DPEP1, CYP1B1	105	187	19734	5.025210084033613	0.9999999987219937	0.22556667076299317	0.21522660266350113
GOTERM_BP_DIRECT	GO:0008284~positive regulation of cell population proliferation	8	7.547169811320755	0.017619605844516974	GREM1, CXCL10, FN1, PTN, IGF1, CALR, ACTB, PGF	105	506	19734	2.971428571428572	0.9999999991956027	0.22808676576748346	0.21763117548612176
GOTERM_BP_DIRECT	GO:0071222~cellular response to lipopolysaccharide	5	4.716981132075472	0.018474193120321912	CXCL10, ZFP36, CXCL11, CXCL9, GBP2	105	191	19734	4.919970082273747	0.9999999997114444	0.2365499945189045	0.22570644638306336
GOTERM_BP_DIRECT	GO:0045471~response to ethanol	4	3.7735849056603774	0.019476512400475234	HSPA8, MT-ND4, FOSB, FOS	105	108	19734	6.960846560846561	0.9999999999133985	0.24525884143755533	0.2340160762103669
GOTERM_BP_DIRECT	GO:0007155~cell adhesion	8	7.547169811320755	0.019570739469550257	IL32, VCAN, ALCAM, B4GALT1, TPBG, FN1, CYP1B1, DPT	105	517	19734	2.9082066869300913	0.999999999922668	0.24525884143755533	0.2340160762103669
GOTERM_BP_DIRECT	GO:0061844~antimicrobial humoral immune response mediated by antimicrobial peptide	4	3.7735849056603774	0.019952706437240293	CXCL10, CXCL11, CXCL9, CCL5	105	109	19734	6.896985583224115	0.9999999999511341	0.24741355982177965	0.2360720214258746
GOTERM_BP_DIRECT	GO:0043154~negative regulation of cysteine-type endopeptidase activity involved in apoptotic process	3	2.8301886792452833	0.020652052922806943	DDX3X, IFI6, DPEP1	105	42	19734	13.424489795918367	0.9999999999789231	0.25022995360221806	0.23875931056782093
GOTERM_BP_DIRECT	GO:0036037~CD8-positive, alpha-beta T cell activation	2	1.8867924528301887	0.020915887709782435	HLA-A, HLA-E	105	4	19734	93.97142857142859	0.999999999984655	0.25022995360221806	0.23875931056782093
GOTERM_BP_DIRECT	GO:2000566~positive regulation of CD8-positive, alpha-beta T cell proliferation	2	1.8867924528301887	0.020915887709782435	HLA-A, HLA-E	105	4	19734	93.97142857142859	0.999999999984655	0.25022995360221806	0.23875931056782093
GOTERM_BP_DIRECT	GO:0006357~regulation of transcription by RNA polymerase II	16	15.09433962264151	0.021029512229728	EGR1, JUN, DDX5, JUND, STAT1, FUS, FOS, ESR1, ACTB, NR4A1, MAFB, IRF1, TRPS1, FOSB, CCNL1, JUNB	105	1606	19734	1.8724070450097847	0.9999999999866159	0.25022995360221806	0.23875931056782093
GOTERM_BP_DIRECT	GO:0009408~response to heat	3	2.8301886792452833	0.021586026546907514	DNAJA1, HSP90AA1, IGF1	105	43	19734	13.112292358803987	0.9999999999931503	0.2542833927225705	0.24262693838724045
GOTERM_BP_DIRECT	GO:0015990~electron transport coupled proton transport	2	1.8867924528301887	0.026076797374511917	MT-ND4, MT-ND5	105	5	19734	75.17714285714287	0.9999999999999697	0.29639118914262996	0.2828044962617285
GOTERM_BP_DIRECT	GO:0070370~cellular heat acclimation	2	1.8867924528301887	0.026076797374511917	HSPA1B, HSPA1A	105	5	19734	75.17714285714287	0.9999999999999697	0.29639118914262996	0.2828044962617285
GOTERM_BP_DIRECT	GO:0140639~positive regulation of pyroptotic inflammatory response	2	1.8867924528301887	0.026076797374511917	GBP2, GBP1	105	5	19734	75.17714285714287	0.9999999999999697	0.29639118914262996	0.2828044962617285
GOTERM_BP_DIRECT	GO:0006935~chemotaxis	4	3.7735849056603774	0.026166964066921494	CXCL10, CXCL11, CXCL9, CCL5	105	121	19734	6.212987012987014	0.9999999999999728	0.29639118914262996	0.2828044962617285
GOTERM_BP_DIRECT	GO:0060337~type I interferon-mediated signaling pathway	3	2.8301886792452833	0.026511095454969585	IFITM1, IFI27, STAT1	105	48	19734	11.74642857142857	0.999999999999982	0.29742924234242063	0.28379496467986487
GOTERM_BP_DIRECT	GO:0051781~positive regulation of cell division	3	2.8301886792452833	0.02754574149524292	MDK, PTN, PGF	105	49	19734	11.5067055393586	0.9999999999999949	0.3032605932840763	0.2893590041182527
GOTERM_BP_DIRECT	GO:0070527~platelet aggregation	3	2.8301886792452833	0.02754574149524292	PDIA3, MYL12A, ACTB	105	49	19734	11.5067055393586	0.9999999999999949	0.3032605932840763	0.2893590041182527
GOTERM_BP_DIRECT	GO:0050918~positive chemotaxis	3	2.8301886792452833	0.028596469839231885	CXCL10, CCL5, PGF	105	50	19734	11.276571428571428	0.9999999999999986	0.31191334695014034	0.29761511203052443
