p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
SARAF	0	0.497982545146086	0.671	0.369	0	0	SARAF
SRSF5	0	0.496731077937749	0.749	0.49	0	0	SRSF5
RPL9	0	0.492071021453894	0.997	0.955	0	0	RPL9
RPL28	0	0.491717755156663	1	0.993	0	0	RPL28
RPS12	0	0.483858719680029	1	0.985	0	0	RPS12
SEPTIN7	0	0.480816078094661	0.782	0.544	0	0	SEPTIN7
RPS14	0	0.476982568066236	1	0.983	0	0	RPS14
RPL38	0	0.476712130056772	0.981	0.932	0	0	RPL38
RPL34	0	0.473363366993652	0.999	0.969	0	0	RPL34
RPL21	0	0.472981635487978	0.998	0.978	0	0	RPL21
N4BP2L2	0	0.471702710285447	0.688	0.361	0	0	N4BP2L2
AAK1	0	0.470687028846604	0.553	0.193	0	0	AAK1
PFN1	0	0.470427283521222	0.957	0.847	0	0	PFN1
SEPTIN6	0	0.468946212105799	0.489	0.107	0	0	SEPTIN6
PLAAT4	0	0.468891760274614	0.593	0.235	0	0	PLAAT4
RPL32	0	0.466589166819284	0.999	0.973	0	0	RPL32
PDCD4	0	0.466546651614285	0.597	0.271	0	0	PDCD4
SPOCK2	0	0.465943865225717	0.37	0.027	0	0	SPOCK2
RGCC	0	0.465585762564357	0.449	0.165	0	0	RGCC
PTPN22	0	0.463124501183227	0.408	0.054	0	0	PTPN22
RPS21	0	0.462373301527683	0.996	0.964	0	0	RPS21
RPLP2	0	0.461846186245566	0.996	0.972	0	0	RPLP2
RPSA	0	0.460555268513499	0.976	0.885	0	0	RPSA
CYTIP	0	0.458585055914233	0.504	0.122	0	0	CYTIP
SKAP1	0	0.45196922852103	0.423	0.042	0	0	SKAP1
B2M	0	0.450712356097412	1	0.999	0	0	B2M
ARGLU1	0	0.449931754870039	0.668	0.36	0	0	ARGLU1
SAMD3	0	0.44900769144353	0.349	0.018	0	0	SAMD3
CDC42SE2	0	0.447847332471235	0.51	0.145	0	0	CDC42SE2
ZNF331	0	0.446525500942198	0.409	0.133	0	0	ZNF331
IL2RG	0	0.44459903095133	0.521	0.143	0	0	IL2RG
RNF213	0	0.44408745107328	0.74	0.454	0	0	RNF213
ANKRD12	0	0.442248426337514	0.662	0.391	0	0	ANKRD12
RPL19	0	0.440237249400796	0.999	0.98	0	0	RPL19
CCND2	0	0.438569620743973	0.434	0.129	0	0	CCND2
RPL27A	0	0.436415142004374	0.996	0.965	0	0	RPL27A
RPL14	0	0.435582973071122	0.996	0.938	0	0	RPL14
TBC1D10C	0	0.432999308730678	0.421	0.044	0	0	TBC1D10C
RPS19	0	0.429143042077422	1	0.992	0	0	RPS19
LCP1	0	0.428211438462939	0.754	0.325	0	0	LCP1
GIMAP4	0	0.42657646947004	0.469	0.132	0	0	GIMAP4
CKLF	0	0.425567103738742	0.601	0.279	0	0	CKLF
PTPN7	0	0.422909934179022	0.414	0.069	0	0	PTPN7
DDIT4	0	0.422733457353345	0.491	0.22	0	0	DDIT4
RPS3A	0	0.420774920861082	0.999	0.959	0	0	RPS3A
TRGC2	0	0.420321283923666	0.259	0.015	0	0	TRGC2
TRAF3IP3	0	0.420035757243198	0.426	0.071	0	0	TRAF3IP3
HOPX	0	0.414955962483291	0.367	0.151	0	0	HOPX
HSPA8	0	0.414522145369063	0.896	0.814	0	0	HSPA8
RPS15	0	0.414021006354717	0.999	0.983	0	0	RPS15
RPS10	0	0.413990780426984	0.988	0.949	0	0	RPS10
TSPYL2	0	0.410946155205951	0.358	0.108	0	0	TSPYL2
RORA	0	0.409087573065742	0.348	0.064	0	0	RORA
RPL17	0	0.40749624006885	0.704	0.531	0	0	RPL17
FXYD5	0	0.407091841788544	0.542	0.228	0	0	FXYD5
GLS	0	0.407028047027125	0.48	0.157	0	0	GLS
LBH	0	0.403925670908694	0.424	0.09	0	0	LBH
RSRP1	0	0.402884837233789	0.635	0.362	0	0	RSRP1
JAK1	0	0.402788115720237	0.634	0.34	0	0	JAK1
OXNAD1	0	0.402327707187406	0.364	0.033	0	0	OXNAD1
FAU	0	0.397557644812696	0.999	0.987	0	0	FAU
DDX3X	0	0.396691299875381	0.765	0.593	0	0	DDX3X
RPL41	0	0.395994063626572	1	0.997	0	0	RPL41
ATM	0	0.395988273418892	0.44	0.143	0	0	ATM
CD99	0	0.395504937673483	0.611	0.332	0	0	CD99
CD37	0	0.395161815294418	0.591	0.195	0	0	CD37
RPS7	0	0.395024714882779	0.998	0.974	0	0	RPS7
FNBP1	0	0.393688527699427	0.502	0.178	0	0	FNBP1
LIMD2	0	0.393565591033037	0.462	0.12	0	0	LIMD2
SLFN5	0	0.391488939381812	0.534	0.259	0	0	SLFN5
SYNRG	0	0.391327032615047	0.441	0.12	0	0	SYNRG
RPL39	0	0.389664724644766	0.999	0.98	0	0	RPL39
GPR174	0	0.388871310516091	0.335	0.018	0	0	GPR174
RBM39	0	0.38576511639051	0.776	0.614	0	0	RBM39
EIF1	0	0.384380714656435	0.999	0.992	0	0	EIF1
SLC38A1	0	0.384073847643265	0.433	0.125	0	0	SLC38A1
RPS18	0	0.384000198244539	1	0.99	0	0	RPS18
RPS26	0	0.382616632333571	0.904	0.924	0	0	RPS26
EIF4A2	0	0.382498484780602	0.66	0.438	0	0	EIF4A2
CNOT6L	0	0.38179608007915	0.403	0.102	0	0	CNOT6L
RPL27	0	0.381404677597037	0.981	0.934	0	0	RPL27
PYHIN1	0	0.381381133792415	0.327	0.017	0	0	PYHIN1
ARL6IP5	0	0.381237966609357	0.662	0.414	0	0	ARL6IP5
HSP90AA1	0	0.379382260781749	0.983	0.935	0	0	HSP90AA1
CRIP1	0	0.379172610455039	0.507	0.229	0	0	CRIP1
RPS2	0	0.379166092725945	0.999	0.977	0	0	RPS2
RPL3	0	0.378703577746803	0.998	0.969	0	0	RPL3
MAF	0	0.377496064517802	0.34	0.169	0	0	MAF
ITGA1	0	0.375443422453424	0.29	0.047	0	0	ITGA1
SON	0	0.373763102731091	0.804	0.663	0	0	SON
RPS28	0	0.371691051100967	1	0.989	0	0	RPS28
CD8B	0	0.371341432922859	0.271	0.063	0	0	CD8B
GYPC	0	0.370953969162178	0.429	0.122	0	0	GYPC
DUSP4	0	0.370553817262446	0.256	0.057	0	0	DUSP4
RPL26	0	0.36980994401311	0.999	0.975	0	0	RPL26
RESF1	0	0.369508571377828	0.64	0.3	0	0	RESF1
MBP	0	0.368480458759101	0.527	0.222	0	0	MBP
RASGRP1	0	0.36677750666111	0.331	0.028	0	0	RASGRP1
YPEL5	0	0.366506096986212	0.529	0.291	0	0	YPEL5
SOCS1	0	0.366152024718998	0.386	0.122	0	0	SOCS1
CREM	0	0.364398650122831	0.353	0.134	0	0	CREM
SH2D1A	0	0.362650315042833	0.299	0.017	0	0	SH2D1A
RHOH	0	0.362558949625196	0.358	0.057	0	0	RHOH
ITGA4	0	0.362543032859845	0.391	0.105	0	0	ITGA4
HNRNPA1	0	0.361373965371301	0.816	0.702	0	0	HNRNPA1
RPS23	0	0.360278066380806	0.999	0.972	0	0	RPS23
CFL1	0	0.359769999945035	0.941	0.856	0	0	CFL1
APBB1IP	0	0.358637175294916	0.503	0.156	0	0	APBB1IP
PARP8	0	0.358527899745354	0.366	0.074	0	0	PARP8
TOMM7	0	0.358225093326775	0.838	0.747	0	0	TOMM7
RPL11	0	0.357479054950078	0.999	0.984	0	0	RPL11
BCL2	0	0.356913501072088	0.341	0.065	0	0	BCL2
NOP53	0	0.356770804020306	0.567	0.334	0	0	NOP53
FUS	0	0.353926240698162	0.627	0.359	0	0	FUS
HLA-F	0	0.352016428257983	0.574	0.284	0	0	HLA-F
PIK3R1	0	0.351986437892333	0.458	0.213	0	0	PIK3R1
PNISR	0	0.351511882511159	0.583	0.337	0	0	PNISR
TMA7	0	0.351493546970938	0.911	0.82	0	0	TMA7
EEF1D	0	0.351129461169653	0.908	0.828	0	0	EEF1D
GPRIN3	0	0.348292886581162	0.353	0.072	0	0	GPRIN3
CD27	0	0.348144274033519	0.319	0.06	0	0	CD27
ABHD17A	0	0.346401054379631	0.42	0.146	0	0	ABHD17A
MT-ATP6	0	0.345058081756401	1	0.987	0	0	MT-ATP6
LAT	0	0.344553085569435	0.346	0.042	0	0	LAT
RNF19A	0	0.343524734163765	0.411	0.186	0	0	RNF19A
TERF2IP	0	0.343506133181622	0.485	0.208	0	0	TERF2IP
SF1	0	0.343301939258605	0.523	0.27	0	0	SF1
G3BP2	0	0.34308502655157	0.44	0.205	0	0	G3BP2
HNRNPDL	0	0.342383259107862	0.574	0.356	0	0	HNRNPDL
PIP4K2A	0	0.339757409488713	0.379	0.09	0	0	PIP4K2A
RPL6	0	0.338229523945867	0.997	0.97	0	0	RPL6
AKAP13	0	0.337953418823924	0.56	0.293	0	0	AKAP13
SEPTIN1	0	0.337167704937067	0.349	0.054	0	0	SEPTIN1
MSN	0	0.335462810640703	0.559	0.283	0	0	MSN
TNFAIP8	0	0.335395591708568	0.433	0.149	0	0	TNFAIP8
RPS6	0	0.334519238946078	0.998	0.975	0	0	RPS6
MACF1	0	0.333912570251656	0.51	0.278	0	0	MACF1
HNRNPA2B1	0	0.333251207945064	0.923	0.819	0	0	HNRNPA2B1
CEMIP2	0	0.332982186485554	0.318	0.077	0	0	CEMIP2
CELF2	0	0.331727079239265	0.465	0.171	0	0	CELF2
CDKN1B	0	0.3311588397676	0.375	0.121	0	0	CDKN1B
GNG2	0	0.331092335325895	0.347	0.056	0	0	GNG2
EMP3	0	0.330618239220677	0.58	0.297	0	0	EMP3
NKTR	0	0.330476340916334	0.454	0.208	0	0	NKTR
RPL37	0	0.328926421238184	0.999	0.98	0	0	RPL37
PPP1R2	0	0.327161030197224	0.451	0.192	0	0	PPP1R2
AKNA	0	0.326476459222676	0.372	0.085	0	0	AKNA
CLK1	0	0.324833130912287	0.468	0.209	0	0	CLK1
ARAP2	0	0.324089933468729	0.342	0.08	0	0	ARAP2
IFITM1	0	0.323254693274451	0.472	0.214	0	0	IFITM1
RPL35A	0	0.323219501634969	0.998	0.978	0	0	RPL35A
PRPF38B	0	0.323164262660881	0.458	0.228	0	0	PRPF38B
GCC2	0	0.322097040052748	0.509	0.292	0	0	GCC2
TENT5C	0	0.320168864842845	0.315	0.082	0	0	TENT5C
NR4A2	0	0.319771568891277	0.473	0.209	0	0	NR4A2
RPLP1	0	0.319111508268199	1	0.996	0	0	RPLP1
BTN3A2	0	0.318735217596513	0.394	0.132	0	0	BTN3A2
IDS	0	0.317380729829212	0.37	0.115	0	0	IDS
RPL18A	0	0.315713014426039	0.999	0.981	0	0	RPL18A
RPS4X	0	0.313254545634374	0.999	0.976	0	0	RPS4X
EPB41	0	0.313163719722523	0.358	0.096	0	0	EPB41
BATF	0	0.312611182251537	0.259	0.056	0	0	BATF
ARHGEF1	0	0.311888126725431	0.366	0.092	0	0	ARHGEF1
ABRACL	0	0.311449923410813	0.432	0.176	0	0	ABRACL
PAXX	0	0.311229996376784	0.405	0.154	0	0	PAXX
MPHOSPH8	0	0.310627941094669	0.505	0.277	0	0	MPHOSPH8
WIPF1	0	0.309539586563635	0.514	0.204	0	0	WIPF1
DOCK8	0	0.308811608011447	0.461	0.169	0	0	DOCK8
RASAL3	0	0.308553949651886	0.316	0.04	0	0	RASAL3
RPL36	0	0.307504741258688	0.997	0.976	0	0	RPL36
FYB1	0	0.30619688562898	0.675	0.288	0	0	FYB1
ITGAL	0	0.303574213102714	0.32	0.058	0	0	ITGAL
PSMB9	0	0.301714652353678	0.643	0.37	0	0	PSMB9
SRSF3	0	0.301483863676894	0.696	0.559	0	0	SRSF3
SLA	0	0.300601719601564	0.411	0.146	0	0	SLA
DDX6	0	0.299947110906021	0.431	0.196	0	0	DDX6
RPL24	0	0.29922364959427	0.994	0.965	0	0	RPL24
SMAD7	0	0.294955526440199	0.328	0.105	0	0	SMAD7
KMT2A	0	0.294414973634946	0.366	0.142	0	0	KMT2A
RPL10A	0	0.294143329289407	0.989	0.932	0	0	RPL10A
EEF1A1	0	0.293439141944072	1	0.988	0	0	EEF1A1
ELF1	0	0.293126715067162	0.479	0.251	0	0	ELF1
DRAP1	0	0.291899501316705	0.536	0.324	0	0	DRAP1
CD6	0	0.291735580135004	0.258	0.017	0	0	CD6
EEF1B2	0	0.291143010920204	0.936	0.886	0	0	EEF1B2
SPN	0	0.291067826167657	0.3	0.051	0	0	SPN
RPS24	0	0.289904302105616	0.999	0.969	0	0	RPS24
CHORDC1	0	0.289569673768769	0.383	0.165	0	0	CHORDC1
HLA-E	0	0.289010009767444	0.975	0.8	0	0	HLA-E
RCAN3	0	0.288519246894518	0.316	0.087	0	0	RCAN3
GIMAP1	0	0.288486795346992	0.309	0.065	0	0	GIMAP1
RPL35	0	0.287417027024204	0.992	0.967	0	0	RPL35
PBXIP1	0	0.287364382252525	0.305	0.083	0	0	PBXIP1
RPL13A	0	0.286942046441279	0.993	0.961	0	0	RPL13A
EML4	0	0.286462499190297	0.444	0.216	0	0	EML4
RPS16	0	0.286243973462089	0.995	0.975	0	0	RPS16
COMMD6	0	0.28418846522448	0.766	0.656	0	0	COMMD6
CYLD	0	0.283450432269708	0.393	0.153	0	0	CYLD
ANAPC16	0	0.281369097921338	0.541	0.347	0	0	ANAPC16
PRKCH	0	0.281172874371679	0.299	0.055	0	0	PRKCH
KMT2E	0	0.279631957258414	0.496	0.285	0	0	KMT2E
TPT1	0	0.278569749300349	1	0.999	0	0	TPT1
C9orf78	0	0.277772425175419	0.409	0.186	0	0	C9orf78
ZC3HAV1	0	0.277708935283106	0.392	0.166	0	0	ZC3HAV1
GMFG	0	0.277698631272889	0.643	0.3	0	0	GMFG
TRIR	0	0.277473674402966	0.598	0.417	0	0	TRIR
PRKACB	0	0.277463876654464	0.316	0.081	0	0	PRKACB
HNRNPH1	0	0.27641663744413	0.543	0.35	0	0	HNRNPH1
ARHGAP9	0	0.275751249180267	0.326	0.077	0	0	ARHGAP9
RPL31	0	0.275384541121555	0.897	0.834	0	0	RPL31
SRSF2	0	0.275206877364205	0.518	0.329	0	0	SRSF2
DOK2	0	0.275192771593703	0.315	0.073	0	0	DOK2
TTC39C	0	0.274768937282854	0.316	0.09	0	0	TTC39C
ARHGAP30	0	0.274673601701223	0.377	0.126	0	0	ARHGAP30
NSMCE3	0	0.274411519628803	0.296	0.076	0	0	NSMCE3
GPBP1	0	0.273322715596967	0.47	0.243	0	0	GPBP1
LNPEP	0	0.273252833264688	0.379	0.159	0	0	LNPEP
TRA2B	0	0.273246643844676	0.516	0.304	0	0	TRA2B
FGFR1OP2	0	0.272704602632087	0.394	0.157	0	0	FGFR1OP2
PTPN4	0	0.271892256469712	0.275	0.049	0	0	PTPN4
TC2N	0	0.271397904682208	0.308	0.103	0	0	TC2N
UBA52	0	0.269742926223057	0.988	0.955	0	0	UBA52
CCDC85B	0	0.269088578231888	0.449	0.196	0	0	CCDC85B
CIRBP	0	0.268781239386018	0.555	0.359	0	0	CIRBP
RAB8B	0	0.268547128189095	0.389	0.147	0	0	RAB8B
RNF125	0	0.268040526746109	0.268	0.036	0	0	RNF125
RHOF	0	0.267814774928622	0.302	0.065	0	0	RHOF
RAP1B	0	0.267268442004714	0.53	0.326	0	0	RAP1B
PRPF4B	0	0.266934861829993	0.464	0.284	0	0	PRPF4B
SYNE2	0	0.266632995185649	0.557	0.329	0	0	SYNE2
PNN	0	0.26641861573747	0.487	0.287	0	0	PNN
CCSER2	0	0.266024031374869	0.324	0.108	0	0	CCSER2
SP100	0	0.265927192771874	0.495	0.278	0	0	SP100
CYFIP2	0	0.265680704459272	0.276	0.036	0	0	CYFIP2
SYNE1	0	0.265341175038279	0.298	0.078	0	0	SYNE1
TUBA4A	0	0.265115960338896	0.39	0.177	0	0	TUBA4A
EPC1	0	0.264649432838109	0.393	0.18	0	0	EPC1
BUB3	0	0.263853760726972	0.373	0.147	0	0	BUB3
PIK3IP1	0	0.263471712987022	0.332	0.089	0	0	PIK3IP1
VAMP2	0	0.262691386767583	0.43	0.196	0	0	VAMP2
RPL15	0	0.262553412749782	0.997	0.977	0	0	RPL15
FAM107B	0	0.262324570613633	0.441	0.218	0	0	FAM107B
PSME1	0	0.262286994710343	0.697	0.586	0	0	PSME1
LDHB	0	0.262035770601264	0.439	0.238	0	0	LDHB
PSIP1	0	0.261945601459288	0.387	0.166	0	0	PSIP1
SAMSN1	0	0.261519501217684	0.446	0.167	0	0	SAMSN1
KLF13	0	0.259938136029081	0.413	0.208	0	0	KLF13
UTRN	0	0.259597864214471	0.383	0.174	0	0	UTRN
CLEC2B	0	0.257594940794842	0.534	0.315	0	0	CLEC2B
GTF3A	0	0.257418608545268	0.434	0.249	0	0	GTF3A
RPL5	0	0.257234479017594	0.99	0.946	0	0	RPL5
OCIAD2	0	0.256756733590121	0.382	0.168	0	0	OCIAD2
ANKRD44	0	0.256385743674064	0.334	0.104	0	0	ANKRD44
ORMDL1	0	0.256160082207559	0.398	0.188	0	0	ORMDL1
ICAM3	0	0.255426038112803	0.43	0.151	0	0	ICAM3
DENND2D	0	0.255395428638645	0.292	0.074	0	0	DENND2D
CCDC107	0	0.254132600228388	0.353	0.148	0	0	CCDC107
MT-ND2	0	0.253943996306418	0.996	0.971	0	0	MT-ND2
TAF7	0	0.252861248961134	0.446	0.235	0	0	TAF7
MYCBP2	0	0.252112916003863	0.442	0.265	0	0	MYCBP2
DHX36	0	0.250595622506133	0.399	0.214	0	0	DHX36
NCL	3.07438151354855e-302	0.262129637342685	0.746	0.65	5.38693128803977e-298	0	NCL
CCL4L2	1.15865860799544e-289	0.571198183745442	0.26	0.112	2.03020161292961e-285	0	CCL4L2
CMC1	1.93295064367538e-275	0.268737198133303	0.265	0.129	3.38691611784801e-271	0	CMC1
REL	2.50913436493436e-274	0.256485208261505	0.455	0.278	4.39650523423799e-270	0	REL
DNAJB1	4.28610305860677e-268	0.439540907873612	0.65	0.536	7.51010977929078e-264	0	DNAJB1
DNAJA1	1.0053914101847e-265	0.362609459816265	0.745	0.682	1.76164682892563e-261	0	DNAJA1
JUN	2.49567302606469e-228	0.350418554608568	0.851	0.769	4.37291827627054e-224	0	JUN
HSPE1	1.31843686047503e-105	0.256305636076096	0.688	0.675	2.31016506692434e-101	0	HSPE1
HSPA1B	5.46514731753986e-53	0.325834646781773	0.471	0.433	9.57603112979335e-49	0	HSPA1B
G0S2	0	2.98269997435217	0.891	0.136	0	1	G0S2
CXCL8	0	2.80537650693819	0.8	0.19	0	1	CXCL8
NAMPT	0	2.28031101152405	0.977	0.321	0	1	NAMPT
IFITM2	0	2.24699706394571	0.994	0.619	0	1	IFITM2
SOD2	0	1.92070284731205	0.981	0.413	0	1	SOD2
FTH1	0	1.88481014198916	1	0.962	0	1	FTH1
SAT1	0	1.76796748529605	0.999	0.792	0	1	SAT1
RGS2	0	1.73313562430027	0.786	0.278	0	1	RGS2
MNDA	0	1.63183104542368	0.698	0.107	0	1	MNDA
SRGN	0	1.60935750182881	0.998	0.619	0	1	SRGN
FCGR3B	0	1.60699880411804	0.735	0.037	0	1	FCGR3B
BCL2A1	0	1.53859189884629	0.769	0.145	0	1	BCL2A1
CSF3R	0	1.49388167690849	0.778	0.076	0	1	CSF3R
SLC25A37	0	1.44977032911333	0.736	0.152	0	1	SLC25A37
PTGS2	0	1.42102603865823	0.517	0.109	0	1	PTGS2
H3-3B	0	1.38800484060849	1	0.951	0	1	H3-3B
LITAF	0	1.35717641634412	0.791	0.367	0	1	LITAF
FOS	0	1.32461859349121	0.998	0.786	0	1	FOS
DUSP1	0	1.31335416837998	0.992	0.659	0	1	DUSP1
H3-3A	0	1.24609378476744	1	0.953	0	1	H3-3A
CEBPB	0	1.22859040446674	0.723	0.355	0	1	CEBPB
RNF149	0	1.21556192647597	0.712	0.208	0	1	RNF149
LST1	0	1.20102655953136	0.708	0.131	0	1	LST1
GCA	0	1.16531606567059	0.586	0.084	0	1	GCA
PLEK	0	1.1599355044813	0.618	0.177	0	1	PLEK
GLUL	0	1.07333012515906	0.642	0.336	0	1	GLUL
FPR1	0	1.0694291163551	0.584	0.047	0	1	FPR1
S100A8	0	1.06433907944422	0.998	0.621	0	1	S100A8
CMTM2	0	1.04903377139094	0.479	0.012	0	1	CMTM2
BASP1	0	1.04515740032049	0.551	0.12	0	1	BASP1
NFKBIA	0	1.03330312616044	0.905	0.539	0	1	NFKBIA
CXCR2	0	1.01918136905151	0.502	0.017	0	1	CXCR2
PLAUR	0	1.01464087784239	0.538	0.173	0	1	PLAUR
NABP1	0	1.0103179393137	0.603	0.229	0	1	NABP1
IL1B	0	1.00468944962769	0.395	0.069	0	1	IL1B
TYROBP	0	0.983348982513467	0.827	0.22	0	1	TYROBP
PROK2	0	0.978666738731171	0.359	0.011	0	1	PROK2
MXD1	0	0.959409509246639	0.625	0.163	0	1	MXD1
PHACTR1	0	0.917808498963942	0.429	0.072	0	1	PHACTR1
ITM2B	0	0.900101464468264	0.999	0.916	0	1	ITM2B
FCGR2A	0	0.881338875331047	0.561	0.091	0	1	FCGR2A
TREM1	0	0.879710935085412	0.488	0.042	0	1	TREM1
IER2	0	0.860668731609431	0.988	0.722	0	1	IER2
FFAR2	0	0.860235458772327	0.401	0.021	0	1	FFAR2
IGSF6	0	0.859676207907489	0.534	0.1	0	1	IGSF6
OSM	0	0.855456956943626	0.359	0.059	0	1	OSM
SMCHD1	0	0.84781094452203	0.589	0.337	0	1	SMCHD1
NCF1	0	0.829037989532947	0.488	0.184	0	1	NCF1
PNRC1	0	0.828189254653103	0.978	0.689	0	1	PNRC1
MCL1	0	0.827033938397647	0.91	0.566	0	1	MCL1
IVNS1ABP	0	0.826924982437934	0.493	0.258	0	1	IVNS1ABP
C5AR1	0	0.813235215881284	0.438	0.062	0	1	C5AR1
NCF2	0	0.801082068173533	0.497	0.086	0	1	NCF2
S100A12	0	0.796145143558273	0.306	0.036	0	1	S100A12
