	SamplingTime	TrainRiskP	TrainRiskAUC	TestRiskP	TestRiskAUC	TCGARiskP	TCGARiskAUC	GEO1RiskP	GEO1RiskAUC	GEO2RiskP	GEO2RiskAUC	GeneNums
399	443	0.000289513	0.775629209	0.004918126	0.760328851	1.94E-05	0.757850751	NA	NA	NA	NA	3
410	455	2.37E-05	0.899420749	0.02157842	0.764114813	1.40E-05	0.821231864	NA	NA	NA	NA	7
444	493	0.002033988	0.71306276	0.00388718	0.724944151	8.84E-05	0.722904729	NA	NA	NA	NA	2
469	519	1.31E-06	0.940566793	0.006668998	0.727629569	1.69E-06	0.797304269	NA	NA	NA	NA	7
476	526	2.99E-05	0.804559646	0.035088607	0.735201622	2.80E-05	0.765875213	NA	NA	NA	NA	4
493	544	5.75E-09	0.887115988	0.025969821	0.752263637	7.17E-09	0.817497729	NA	NA	NA	NA	7
511	563	0.000104476	0.887383162	0.048123647	0.741461679	0.00017651	0.81991326	NA	NA	NA	NA	5
523	575	4.44E-06	0.837154717	0.001740043	0.725239652	3.64E-08	0.782564796	NA	NA	NA	NA	3
537	592	0.000162154	0.849397465	0.016287922	0.704593655	1.50E-05	0.783415947	NA	NA	NA	NA	8
549	604	0.002733737	0.806526453	0.040748974	0.710074934	0.000313619	0.756363423	NA	NA	NA	NA	3
596	661	8.95E-07	0.909557174	0.008632389	0.774347192	3.02E-08	0.809678666	NA	NA	NA	NA	8
609	674	7.03E-05	0.892713163	0.001365304	0.817483537	2.06E-06	0.827270256	NA	NA	NA	NA	7
614	680	1.99E-07	0.888461574	0.01142556	0.791936106	1.59E-07	0.829704759	NA	NA	NA	NA	7
637	705	5.17E-08	0.861660764	0.019927297	0.736043979	2.28E-06	0.780867298	NA	NA	NA	NA	4
671	742	1.12E-06	0.922163893	0.049103464	0.709211373	1.52E-06	0.80782249	NA	NA	NA	NA	7
687	759	0.001109596	0.804815872	0.025550549	0.720000764	0.000744218	0.73786688	NA	NA	NA	NA	2
695	768	1.44E-05	0.915669681	0.010952428	0.735469998	1.37E-06	0.800179288	NA	NA	NA	NA	7
729	806	0.000119033	0.919341951	0.011984011	0.706844494	4.16E-06	0.81454799	NA	NA	NA	NA	6
758	840	1.44E-06	0.812774568	0.042413329	0.755553141	2.13E-06	0.777345954	NA	NA	NA	NA	3
771	859	5.27E-06	0.881094877	0.006757411	0.764163061	1.73E-07	0.793141388	NA	NA	NA	NA	7
796	886	0.000201105	0.790909354	0.043774705	0.749564624	2.05E-06	0.721750977	NA	NA	NA	NA	3
806	897	0.011080407	0.786447756	0.043055249	0.705213128	0.001863194	0.724343775	NA	NA	NA	NA	2
845	938	0.001013082	0.772176559	0.030812191	0.729703943	0.000101364	0.742823326	NA	NA	NA	NA	2
852	946	0.000821985	0.910767005	0.006662835	0.709793067	6.52E-06	0.782557171	NA	NA	NA	NA	6
855	950	0.00568705	0.81446701	0.001192874	0.733121988	1.47E-06	0.742478779	NA	NA	NA	NA	3
893	992	0.000289431	0.809837503	0.022914563	0.75401622	4.70E-05	0.743581331	NA	NA	NA	NA	3
895	994	0.005584155	0.751110067	0.009267551	0.734579795	0.000116039	0.734886282	NA	NA	NA	NA	2
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
